id,name,height,weight,base_experience,type
309,electrike,6,152,59,electric
310,manectric,15,402,166,electric
311,plusle,4,42,142,electric
312,minun,4,42,142,electric
313,volbeat,7,177,151,bug
314,illumise,6,177,151,bug
315,roselia,3,20,140,"grass, poison"
316,gulpin,4,103,60,poison
317,swalot,17,800,163,poison
318,carvanha,8,208,61,"water, dark"
319,sharpedo,18,888,161,"water, dark"
320,wailmer,20,1300,80,water
321,wailord,145,3980,175,water
322,numel,7,240,61,"fire, ground"
323,camerupt,19,2200,161,"fire, ground"
324,torkoal,5,804,165,fire
325,spoink,7,306,66,psychic
326,grumpig,9,715,165,psychic
327,spinda,11,50,126,normal
328,trapinch,7,150,58,ground
329,vibrava,11,153,119,"ground, dragon"
330,flygon,20,820,234,"ground, dragon"
331,cacnea,4,513,67,grass
332,cacturne,13,774,166,"grass, dark"
333,swablu,4,12,62,"normal, flying"
334,altaria,11,206,172,"dragon, flying"
335,zangoose,13,403,160,normal
336,seviper,27,525,160,poison
337,lunatone,10,1680,161,"rock, psychic"
338,solrock,12,1540,161,"rock, psychic"
339,barboach,4,19,58,"water, ground"
340,whiscash,9,236,164,"water, ground"
341,corphish,6,115,62,water
342,crawdaunt,11,328,164,"water, dark"
343,baltoy,5,215,60,"ground, psychic"
344,claydol,15,1080,175,"ground, psychic"
345,lileep,10,238,71,"rock, grass"
346,cradily,15,604,173,"rock, grass"
347,anorith,7,125,71,"rock, bug"
348,armaldo,15,682,173,"rock, bug"
349,feebas,6,74,40,water
350,milotic,62,1620,189,water
351,castform,3,8,147,normal
352,kecleon,10,220,154,normal
353,shuppet,6,23,59,ghost
354,banette,11,125,159,ghost
355,duskull,8,150,59,ghost
356,dusclops,16,306,159,ghost
357,tropius,20,1000,161,"grass, flying"
358,chimecho,6,10,159,psychic
359,absol,12,470,163,dark
360,wynaut,6,140,52,psychic
361,snorunt,7,168,60,ice
362,glalie,15,2565,168,ice
363,spheal,8,395,58,"ice, water"
364,sealeo,11,876,144,"ice, water"
365,walrein,14,1506,239,"ice, water"
366,clamperl,4,525,69,water
367,huntail,17,270,170,water
368,gorebyss,18,226,170,water
369,relicanth,10,234,170,"water, rock"
370,luvdisc,6,87,116,water
371,bagon,6,421,60,dragon
372,shelgon,11,1105,147,dragon
373,salamence,15,1026,270,"dragon, flying"
374,beldum,6,952,60,"steel, psychic"
375,metang,12,2025,147,"steel, psychic"
376,metagross,16,5500,270,"steel, psychic"
377,regirock,17,2300,261,rock
378,regice,18,1750,261,ice
379,registeel,19,2050,261,steel
380,latias,14,400,270,"dragon, psychic"
381,latios,20,600,270,"dragon, psychic"
382,kyogre,45,3520,302,water
383,groudon,35,9500,302,ground
384,rayquaza,70,2065,306,"dragon, flying"
385,jirachi,3,11,270,"steel, psychic"
386,deoxys-normal,17,608,270,psychic
387,turtwig,4,102,64,grass
388,grotle,11,970,142,grass
389,torterra,22,3100,236,"grass, ground"
390,chimchar,5,62,62,fire
391,monferno,9,220,142,"fire, fighting"
392,infernape,12,550,240,"fire, fighting"
393,piplup,4,52,63,water
394,prinplup,8,230,142,water
395,empoleon,17,845,239,"water, steel"
396,starly,3,20,49,"normal, flying"
397,staravia,6,155,119,"normal, flying"
398,staraptor,12,249,218,"normal, flying"
399,bidoof,5,200,50,normal
400,bibarel,10,315,144,"normal, water"
401,kricketot,3,22,39,bug
402,kricketune,10,255,134,bug
403,shinx,5,95,53,electric
404,luxio,9,305,127,electric
405,luxray,14,420,235,electric
406,budew,2,12,56,"grass, poison"
407,roserade,9,145,232,"grass, poison"
408,cranidos,9,315,70,rock
409,rampardos,16,1025,173,rock
410,shieldon,5,570,70,"rock, steel"
411,bastiodon,13,1495,173,"rock, steel"
412,burmy,2,34,45,bug
413,wormadam-plant,5,65,148,"bug, grass"
414,mothim,9,233,148,"bug, flying"
415,combee,3,55,49,"bug, flying"
416,vespiquen,12,385,166,"bug, flying"
417,pachirisu,4,39,142,electric
418,buizel,7,295,66,water
419,floatzel,11,335,173,water
420,cherubi,4,33,55,grass
421,cherrim,5,93,158,grass
422,shellos,3,63,65,water
423,gastrodon,9,299,166,"water, ground"
424,ambipom,12,203,169,normal
425,drifloon,4,12,70,"ghost, flying"
426,drifblim,12,150,174,"ghost, flying"
427,buneary,4,55,70,normal
428,lopunny,12,333,168,normal
429,mismagius,9,44,173,ghost
430,honchkrow,9,273,177,"dark, flying"
431,glameow,5,39,62,normal
432,purugly,10,438,158,normal
433,chingling,2,6,57,psychic
434,stunky,4,192,66,"poison, dark"
435,skuntank,10,380,168,"poison, dark"
436,bronzor,5,605,60,"steel, psychic"
437,bronzong,13,1870,175,"steel, psychic"
438,bonsly,5,150,58,rock
439,mime-jr,6,130,62,"psychic, fairy"
440,happiny,6,244,110,normal
441,chatot,5,19,144,"normal, flying"
442,spiritomb,10,1080,170,"ghost, dark"
443,gible,7,205,60,"dragon, ground"
444,gabite,14,560,144,"dragon, ground"
445,garchomp,19,950,270,"dragon, ground"
446,munchlax,6,1050,78,normal
447,riolu,7,202,57,fighting
448,lucario,12,540,184,"fighting, steel"
449,hippopotas,8,495,66,ground
450,hippowdon,20,3000,184,ground
451,skorupi,8,120,66,"poison, bug"
452,drapion,13,615,175,"poison, dark"
453,croagunk,7,230,60,"poison, fighting"
454,toxicroak,13,444,172,"poison, fighting"
455,carnivine,14,270,159,grass
456,finneon,4,70,66,water
457,lumineon,12,240,161,water
458,mantyke,10,650,69,"water, flying"
459,snover,10,505,67,"grass, ice"
460,abomasnow,22,1355,173,"grass, ice"
461,weavile,11,340,179,"dark, ice"
462,magnezone,12,1800,241,"electric, steel"
463,lickilicky,17,1400,180,normal
464,rhyperior,24,2828,241,"ground, rock"
465,tangrowth,20,1286,187,grass
466,electivire,18,1386,243,electric
467,magmortar,16,680,243,fire
468,togekiss,15,380,245,"fairy, flying"
469,yanmega,19,515,180,"bug, flying"
470,leafeon,10,255,184,grass
471,glaceon,8,259,184,ice
472,gliscor,20,425,179,"ground, flying"
473,mamoswine,25,2910,239,"ice, ground"
474,porygon-z,9,340,241,normal
475,gallade,16,520,233,"psychic, fighting"
476,probopass,14,3400,184,"rock, steel"
477,dusknoir,22,1066,236,ghost
478,froslass,13,266,168,"ice, ghost"
479,rotom,3,3,154,"electric, ghost"
480,uxie,3,3,261,psychic
481,mesprit,3,3,261,psychic
482,azelf,3,3,261,psychic
483,dialga,54,6830,306,"steel, dragon"
484,palkia,42,3360,306,"water, dragon"
485,heatran,17,4300,270,"fire, steel"
486,regigigas,37,4200,302,normal
487,giratina-altered,45,7500,306,"ghost, dragon"
488,cresselia,15,856,270,psychic
489,phione,4,31,216,water
490,manaphy,3,14,270,water
491,darkrai,15,505,270,dark
492,shaymin-land,2,21,270,grass
493,arceus,32,3200,324,normal
494,victini,4,40,270,"psychic, fire"
495,snivy,6,81,62,grass
496,servine,8,160,145,grass
497,serperior,33,630,238,grass
498,tepig,5,99,62,fire
499,pignite,10,555,146,"fire, fighting"
500,emboar,16,1500,238,"fire, fighting"
501,oshawott,5,59,62,water
502,dewott,8,245,145,water
503,samurott,15,946,238,water
504,patrat,5,116,51,normal
505,watchog,11,270,147,normal
506,lillipup,4,41,55,normal
507,herdier,9,147,130,normal
508,stoutland,12,610,225,normal
509,purrloin,4,101,56,dark
510,liepard,11,375,156,dark
511,pansage,6,105,63,grass
512,simisage,11,305,174,grass
513,pansear,6,110,63,fire
514,simisear,10,280,174,fire
515,panpour,6,135,63,water
516,simipour,10,290,174,water
517,munna,6,233,58,psychic
518,musharna,11,605,170,psychic
519,pidove,3,21,53,"normal, flying"
520,tranquill,6,150,125,"normal, flying"
521,unfezant,12,290,220,"normal, flying"
522,blitzle,8,298,59,electric
523,zebstrika,16,795,174,electric
524,roggenrola,4,180,56,rock
525,boldore,9,1020,137,rock
526,gigalith,17,2600,232,rock
527,woobat,4,21,65,"psychic, flying"
528,swoobat,9,105,149,"psychic, flying"
529,drilbur,3,85,66,ground
530,excadrill,7,404,178,"ground, steel"
531,audino,11,310,390,normal
532,timburr,6,125,61,fighting
533,gurdurr,12,400,142,fighting
534,conkeldurr,14,870,227,fighting
535,tympole,5,45,59,water
536,palpitoad,8,170,134,"water, ground"
537,seismitoad,15,620,229,"water, ground"
538,throh,13,555,163,fighting
539,sawk,14,510,163,fighting
540,sewaddle,3,25,62,"bug, grass"
541,swadloon,5,73,133,"bug, grass"
542,leavanny,12,205,225,"bug, grass"
543,venipede,4,53,52,"bug, poison"
544,whirlipede,12,585,126,"bug, poison"
545,scolipede,25,2005,218,"bug, poison"
546,cottonee,3,6,56,"grass, fairy"
547,whimsicott,7,66,168,"grass, fairy"
548,petilil,5,66,56,grass
549,lilligant,11,163,168,grass
550,basculin-red-striped,10,180,161,water
551,sandile,7,152,58,"ground, dark"
552,krokorok,10,334,123,"ground, dark"
553,krookodile,15,963,234,"ground, dark"
554,darumaka,6,375,63,fire
555,darmanitan-standard,13,929,168,fire
556,maractus,10,280,161,grass
557,dwebble,3,145,65,"bug, rock"
558,crustle,14,2000,170,"bug, rock"
559,scraggy,6,118,70,"dark, fighting"
560,scrafty,11,300,171,"dark, fighting"
561,sigilyph,14,140,172,"psychic, flying"
562,yamask,5,15,61,ghost
563,cofagrigus,17,765,169,ghost
564,tirtouga,7,165,71,"water, rock"
565,carracosta,12,810,173,"water, rock"
566,archen,5,95,71,"rock, flying"
567,archeops,14,320,177,"rock, flying"
568,trubbish,6,310,66,poison
569,garbodor,19,1073,166,poison
570,zorua,7,125,66,dark
571,zoroark,16,811,179,dark
572,minccino,4,58,60,normal
573,cinccino,5,75,165,normal
574,gothita,4,58,58,psychic
575,gothorita,7,180,137,psychic
576,gothitelle,15,440,221,psychic
577,solosis,3,10,58,psychic
578,duosion,6,80,130,psychic
579,reuniclus,10,201,221,psychic
580,ducklett,5,55,61,"water, flying"
581,swanna,13,242,166,"water, flying"
582,vanillite,4,57,61,ice
583,vanillish,11,410,138,ice
584,vanilluxe,13,575,241,ice
585,deerling,6,195,67,"normal, grass"
586,sawsbuck,19,925,166,"normal, grass"
587,emolga,4,50,150,"electric, flying"
588,karrablast,5,59,63,bug
589,escavalier,10,330,173,"bug, steel"
590,foongus,2,10,59,"grass, poison"
591,amoonguss,6,105,162,"grass, poison"
592,frillish-male,12,330,67,"water, ghost"
593,jellicent-male,22,1350,168,"water, ghost"
594,alomomola,12,316,165,water
595,joltik,1,6,64,"bug, electric"
596,galvantula,8,143,165,"bug, electric"
597,ferroseed,6,188,61,"grass, steel"
598,ferrothorn,10,1100,171,"grass, steel"
599,klink,3,210,60,steel
600,klang,6,510,154,steel
601,klinklang,6,810,234,steel
602,tynamo,2,3,55,electric
603,eelektrik,12,220,142,electric
604,eelektross,21,805,232,electric
605,elgyem,5,90,67,psychic
606,beheeyem,10,345,170,psychic
607,litwick,3,31,55,"ghost, fire"
608,lampent,6,130,130,"ghost, fire"
609,chandelure,10,343,234,"ghost, fire"
610,axew,6,180,64,dragon
611,fraxure,10,360,144,dragon
612,haxorus,18,1055,243,dragon
613,cubchoo,5,85,61,ice
614,beartic,26,2600,177,ice
615,cryogonal,11,1480,180,ice
616,shelmet,4,77,61,bug
617,accelgor,8,253,173,bug
618,stunfisk,7,110,165,"ground, electric"
619,mienfoo,9,200,70,fighting
620,mienshao,14,355,179,fighting
621,druddigon,16,1390,170,dragon
622,golett,10,920,61,"ground, ghost"
623,golurk,28,3300,169,"ground, ghost"
624,pawniard,5,102,68,"dark, steel"
625,bisharp,16,700,172,"dark, steel"
626,bouffalant,16,946,172,normal
627,rufflet,5,105,70,"normal, flying"
628,braviary,15,410,179,"normal, flying"
629,vullaby,5,90,74,"dark, flying"
630,mandibuzz,12,395,179,"dark, flying"
631,heatmor,14,580,169,fire
632,durant,3,330,169,"bug, steel"
633,deino,8,173,60,"dark, dragon"
634,zweilous,14,500,147,"dark, dragon"
635,hydreigon,18,1600,270,"dark, dragon"
636,larvesta,11,288,72,"bug, fire"
637,volcarona,16,460,248,"bug, fire"
638,cobalion,21,2500,261,"steel, fighting"
639,terrakion,19,2600,261,"rock, fighting"
640,virizion,20,2000,261,"grass, fighting"
641,tornadus-incarnate,15,630,261,flying
642,thundurus-incarnate,15,610,261,"electric, flying"
643,reshiram,32,3300,306,"dragon, fire"
644,zekrom,29,3450,306,"dragon, electric"
645,landorus-incarnate,15,680,270,"ground, flying"
646,kyurem,30,3250,297,"dragon, ice"
647,keldeo-ordinary,14,485,261,"water, fighting"
648,meloetta-aria,6,65,270,"normal, psychic"
649,genesect,15,825,270,"bug, steel"
650,chespin,4,90,63,grass
651,quilladin,7,290,142,grass
652,chesnaught,16,900,239,"grass, fighting"
653,fennekin,4,94,61,fire
654,braixen,10,145,143,fire
655,delphox,15,390,240,"fire, psychic"
656,froakie,3,70,63,water
657,frogadier,6,109,142,water
658,greninja,15,400,239,"water, dark"
659,bunnelby,4,50,47,normal
660,diggersby,10,424,148,"normal, ground"
661,fletchling,3,17,56,"normal, flying"
662,fletchinder,7,160,134,"fire, flying"
663,talonflame,12,245,175,"fire, flying"
664,scatterbug,3,25,40,bug
665,spewpa,3,84,75,bug
666,vivillon,12,170,185,"bug, flying"
667,litleo,6,135,74,"fire, normal"
668,pyroar-male,15,815,177,"fire, normal"
669,flabebe,1,1,61,fairy
670,floette,2,9,130,fairy
671,florges,11,100,248,fairy
672,skiddo,9,310,70,grass
673,gogoat,17,910,186,grass
674,pancham,6,80,70,fighting
675,pangoro,21,1360,173,"fighting, dark"
676,furfrou,12,280,165,normal
677,espurr,3,35,71,psychic
678,meowstic-male,6,85,163,psychic
679,honedge,8,20,65,"steel, ghost"
680,doublade,8,45,157,"steel, ghost"
681,aegislash-shield,17,530,234,"steel, ghost"
682,spritzee,2,5,68,fairy
683,aromatisse,8,155,162,fairy
684,swirlix,4,35,68,fairy
685,slurpuff,8,50,168,fairy
686,inkay,4,35,58,"dark, psychic"
687,malamar,15,470,169,"dark, psychic"
688,binacle,5,310,61,"rock, water"
689,barbaracle,13,960,175,"rock, water"
690,skrelp,5,73,64,"poison, water"
691,dragalge,18,815,173,"poison, dragon"
692,clauncher,5,83,66,water
693,clawitzer,13,353,100,water
694,helioptile,5,60,58,"electric, normal"
695,heliolisk,10,210,168,"electric, normal"
696,tyrunt,8,260,72,"rock, dragon"
697,tyrantrum,25,2700,182,"rock, dragon"
698,amaura,13,252,72,"rock, ice"
699,aurorus,27,2250,104,"rock, ice"
700,sylveon,10,235,184,fairy
701,hawlucha,8,215,175,"fighting, flying"
702,dedenne,2,22,151,"electric, fairy"
703,carbink,3,57,100,"rock, fairy"
704,goomy,3,28,60,dragon
705,sliggoo,8,175,158,dragon
706,goodra,20,1505,270,dragon
707,klefki,2,30,165,"steel, fairy"
708,phantump,4,70,62,"ghost, grass"
709,trevenant,15,710,166,"ghost, grass"
710,pumpkaboo-average,4,50,67,"ghost, grass"
711,gourgeist-average,9,125,173,"ghost, grass"
712,bergmite,10,995,61,ice
713,avalugg,20,5050,180,ice
714,noibat,5,80,49,"flying, dragon"
715,noivern,15,850,187,"flying, dragon"
716,xerneas,30,2150,306,fairy
717,yveltal,58,2030,306,"dark, flying"
718,zygarde-50,50,3050,270,"dragon, ground"
719,diancie,7,88,270,"rock, fairy"
720,hoopa,5,90,270,"psychic, ghost"
721,volcanion,17,1950,270,"fire, water"
722,rowlet,3,15,64,"grass, flying"
723,dartrix,7,160,147,"grass, flying"
724,decidueye,16,366,239,"grass, ghost"
725,litten,4,43,64,fire
726,torracat,7,250,147,fire
727,incineroar,18,830,239,"fire, dark"
728,popplio,4,75,64,water
729,brionne,6,175,147,water
730,primarina,18,440,239,"water, fairy"
731,pikipek,3,12,53,"normal, flying"
732,trumbeak,6,148,124,"normal, flying"
733,toucannon,11,260,218,"normal, flying"
734,yungoos,4,60,51,normal
735,gumshoos,7,142,146,normal
736,grubbin,4,44,60,bug
737,charjabug,5,105,140,"bug, electric"
738,vikavolt,15,450,225,"bug, electric"
739,crabrawler,6,70,68,fighting
740,crabominable,17,1800,167,"fighting, ice"
741,oricorio-baile,6,34,167,"fire, flying"
742,cutiefly,1,2,61,"bug, fairy"
743,ribombee,2,5,162,"bug, fairy"
744,rockruff,5,92,56,rock
745,lycanroc-midday,8,250,170,rock
746,wishiwashi-solo,2,3,61,water
747,mareanie,4,80,61,"poison, water"
748,toxapex,7,145,173,"poison, water"
749,mudbray,10,1100,77,ground
750,mudsdale,25,9200,175,ground
751,dewpider,3,40,54,"water, bug"
752,araquanid,18,820,159,"water, bug"
753,fomantis,3,15,50,grass
