passage_id,chapter,section,subsection,formal_section,page,text,text_clean,word_count,cluster,cluster_name,x,y,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5
p0011,Part 1: General Information,Mission Statement,Wuhan University,Mission Statement,12,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.","Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",94,2,DKU & Duke Academic Structure,2.3457603,1.1024811,p0006,p0003,p0821,p0009,p0010
p0012,Part 1: General Information,Mission Statement,Wuhan University,Mission Statement,13,"The university enjoys partnerships with more than 400 universities and research institutes in over countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering. Kunshan Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county -level administrations. It ranked No 1 in the 25 Best Cou nty-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received tit les and awards such as a National","The university enjoys partnerships with more than 400 universities and research institutes in over countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering. Kunshan Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county -level administrations. It ranked No 1 in the 25 Best Cou nty-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received tit les and awards such as a National",185,2,DKU & Duke Academic Structure,2.446328,1.0252442,p0009,p0006,p0018,p0003,p0054
p0013,Part 1: General Information,Mission Statement,Wuhan University,Mission Statement,13,"Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology. Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's o ldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.","Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology. Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's o ldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",83,1,"China, History & Society",2.6003022,1.2515061,p0261,p0012,p0672,p0004,p0892
p0014,Part 1: General Information,Duke Kunshan University Community Standard,Unknown,Duke Kunshan University Community Standard,13,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co -curricular endeavors. Duke Kunshan University is a community comprised of individuals from div erse cultures and backgrounds. We are de dicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non -academic endeavors, and to protecting and promoting a c ulture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.","All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co -curricular endeavors. Duke Kunshan University is a community comprised of individuals from div erse cultures and backgrounds. We are de dicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non -academic endeavors, and to protecting and promoting a c ulture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",141,2,DKU & Duke Academic Structure,2.1266706,1.5665777,p0004,p0091,p0277,p0007,p0018
p0015,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,Unknown,A 21st Century Curriculum,14,"The Duke Kunshan University curriculu m begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem -solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to inter rogate that knowledge and apply it flexibly. It is also deeply cross- cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.","The Duke Kunshan University curriculu m begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem -solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to inter rogate that knowledge and apply it flexibly. It is also deeply cross- cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",123,2,DKU & Duke Academic Structure,2.6889434,1.4148414,p0003,p0018,p0021,p0007,p0006
p0016,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,Unknown,A Liberal Arts College Experience,14,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection betw een faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one -on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.","The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection betw een faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one -on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.",155,2,DKU & Duke Academic Structure,2.7308233,1.3165624,p0021,p0003,p0018,p0006,p0015
p0017,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,Dual Degrees,A Liberal Arts College Experience,14,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,92,2,DKU & Duke Academic Structure,1.965817,0.35706526,p0043,p0042,p0111,p0096,p0204
p0018,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,Animating Principles,A Liberal Arts College Experience,14,"Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.","Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.",53,2,DKU & Duke Academic Structure,2.5398285,1.2980963,p0015,p0003,p0007,p0006,p0016
p0019,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,Animating Principles,A Liberal Arts College Experience,15,"The overarching goals are e mbedded in the seven animating principles that are expressed throughout the curriculum: • Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments. • Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges. • Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need. • Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments. • Independence and Creativit y: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers. • Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity. • A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of","The overarching goals are e mbedded in the seven animating principles that are expressed throughout the curriculum: • Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments. • Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges. • Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need. • Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments. • Independence and Creativit y: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers. • Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity. • A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of",196,5,"Arts, Media & Culture",4.4487276,1.487709,p0020,p0413,p0023,p0227,p0024
p0020,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,Animating Principles,A Liberal Arts College Experience,15,"study to big questions of meaning, and who build the capacity for lifelong learning and exploration.","study to big questions of meaning, and who build the capacity for lifelong learning and exploration.",16,5,"Arts, Media & Culture",4.315886,1.4746265,p0019,p0023,p0022,p0038,p0413
p0021,Part 3: The Curriculum,Unknown,Unknown,Part 3: The Curriculum,16,"Overview The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientat ion. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter -disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners. This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure. The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdi sciplinary community will","Overview The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientat ion. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter -disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners. This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure. The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdi sciplinary community will",183,2,DKU & Duke Academic Structure,2.8794832,1.3204752,p0015,p0016,p0003,p0018,p0025
p0022,Part 3: The Curriculum,Unknown,Unknown,Part 3: The Curriculum,16,"be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work. The dual structure is also flexible, to accommodate a variety of student goals and outcomes. Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing br oad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many","be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work. The dual structure is also flexible, to accommodate a variety of student goals and outcomes. Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing br oad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many",193,7,"Math, Data & Computing",4.480508,1.4990934,p0037,p0023,p0838,p1069,p1068
